cluster,topic,id,questionText,questionLatex,hint,answer,answerLatex,solutionText,solutionLatex
"Derivative and Rules of Differentiation","Implicit Differentiation","","Find dy/dx by implicit differentiation.","x^4+xy+y^3=x","Differentiate both sides with respect to x, remembering to use the product rule for xy and chain rule for y^3","","\frac{1-4x^3-y}{x+3y^2}","Differentiate both sides with respect to x. Solve for y' by collecting all terms containing y' on one side.","4x^3 + y + xy' + 3y^2y' = 1 \Rightarrow y'(x + 3y^2) = 1 - 4x^3 - y \Rightarrow y' = \frac{1-4x^3-y}{x+3y^2}"
"Derivative and Rules of Differentiation","Implicit Differentiation","","Find dy/dx by implicit differentiation.","x^2y+xy^2=1","Use the product rule on both terms on the left side","","-\frac{y^2+2xy}{x^2+2xy}","Apply product rule to both terms, then collect all y' terms on one side.","2xy + x^2y' + y^2 + 2xyy' = 0 \Rightarrow y'(x^2 + 2xy) = -2xy - y^2 \Rightarrow y' = -\frac{y^2+2xy}{x^2+2xy}"
"Derivative and Rules of Differentiation","Implicit Differentiation","","Find dy/dx by implicit differentiation.","\sqrt{x+y}=x^2","First rewrite as (x+y)^{1/2} = x^2, then use chain rule on the left side","","4x\sqrt{x+y}-1","Apply chain rule to the left side, then solve for y'.","\frac{1}{2\sqrt{x+y}}(1+y') = 2x \Rightarrow 1 + y' = 4x\sqrt{x+y} \Rightarrow y' = 4x\sqrt{x+y} - 1"
"Derivative and Rules of Differentiation","Implicit Differentiation","","Find dy/dx by implicit differentiation.","e^{2y}-x^2-xy=0","Remember the derivative of e^{2y} requires the chain rule","","\frac{2x+y}{2e^{2y}-x}","Differentiate each term, then isolate y'.","2e^{2y}y' - 2x - y - xy' = 0 \Rightarrow y'(2e^{2y} - x) = 2x + y \Rightarrow y' = \frac{2x+y}{2e^{2y}-x}"
"Derivative and Rules of Differentiation","Implicit Differentiation","","Find the equation of the tangent line to the curve in the xy-plane, given by:","x^3+y^3=\ 9\ at\ \left(1,\ 2\right)","First find dy/dx by implicit differentiation, then evaluate at the given point to find the slope","","y=\frac{9}{4}-\frac{1}{4}x","Find the slope using implicit differentiation, then use point-slope form.","3x^2 + 3y^2y' = 0 \Rightarrow y' = -\frac{x^2}{y^2}. \text{ At } (1,2): y' = -\frac{1}{4}. \text{ Point-slope: } y - 2 = -\frac{1}{4}(x - 1) \Rightarrow y = \frac{9}{4} - \frac{1}{4}x"
"Derivative and Rules of Differentiation","Higher Order Derivatives","","Find the third derivative of the given function and state its domain.","f(x)=2x^4−3x^3+x^2+17","Find the first derivative first","","48x-18","Take derivatives successively three times. The domain is all real numbers.","f'(x) = 8x^3 - 9x^2 + 2x, \quad f''(x) = 24x^2 - 18x + 2, \quad f'''(x) = 48x - 18. \quad \text{Domain: } (-\infty, \infty)"
"Derivative and Rules of Differentiation","Higher Order Derivatives","","Find the third derivative of the given function and state its domain.","g\left(t\right)=\sqrt{2t+4}","Find the first derivative first","","3\left(2t+4\right)^{-\frac{5}{2}}","Rewrite as a power function and differentiate three times.","g(t) = (2t+4)^{1/2}, \quad g'(t) = (2t+4)^{-1/2}, \quad g''(t) = -(2t+4)^{-3/2}, \quad g'''(t) = 3(2t+4)^{-5/2}. \quad \text{Domain: } t > -2"
"Derivative and Rules of Differentiation","Higher Order Derivatives","","Find the third derivative of the given function and state its domain.","f\left(x\right)=\frac{1}{27}e^{3x-5}","Find the first derivative first","","e^{3x-5}","Each derivative multiplies by the constant 3 from the chain rule.","f'(x) = \frac{1}{9}e^{3x-5}, \quad f''(x) = \frac{1}{3}e^{3x-5}, \quad f'''(x) = e^{3x-5}. \quad \text{Domain: } (-\infty, \infty)"
"Derivative and Rules of Differentiation","Higher Order Derivatives","","Find the third derivative of the given function and state its domain.","f\left(x\right)=\ln\left(x^2+1\right)","Find the first derivative first","","\frac{-4x\left(3-x^2\right)}{\left(x^2+1\right)^3}","Use the chain rule and quotient rule for successive derivatives.","f'(x) = \frac{2x}{x^2+1}, \quad f''(x) = \frac{2-2x^2}{(x^2+1)^2}, \quad f'''(x) = \frac{-4x(3-x^2)}{(x^2+1)^3}. \quad \text{Domain: } (-\infty, \infty)"
"Applications of the Derivative","Intervals of increasing and decreasing","","Find the intervals where each function f is increasing and the intervals where it is decreasing.","f(x)=5−2x","Find f'(x) and determine where it is positive or negative","Decreasing on","\left(-\infty,\ \infty\right)","The derivative is a negative constant.","f'(x) = -2 < 0 \text{ for all } x. \quad \text{Decreasing on } (-\infty, \infty)"
